,0,1,2,3,4,5,6,7
25,0,0192 Nynäshamn,26796,27752,28575,1.0356769667114494,1.0296555203228597,0192
26,8,0305 Håbo,19968,20737,21934,1.0385116185897436,1.0577229107392583,0305
27,5,0319 Älvkarleby,9132,9445,9457,1.034275076653526,1.001270513499206,0319
28,3,0330 Knivsta,15580,17323,18835,1.1118741976893454,1.0872828032096058,0330
29,4,0331 Heby,13450,13755,14047,1.0226765799256505,1.0212286441294074,0331
30,0,0360 Tierp,20144,20744,21136,1.0297855440826051,1.018897030466641,0360
31,7,0380 Uppsala,205199,214559,230767,1.0456142573794218,1.0755409933864346,0380
32,8,0381 Enköping,40656,42988,45287,1.0573593073593073,1.053480040941658,0381
33,4,0382 Östhammar,21352,21822,22250,1.0220119895091795,1.0196132343506552,0382
34,5,0428 Vingåker,8835,9099,9111,1.029881154499151,1.0013188262446422,0428
35,0,0461 Gnesta,10409,10861,11365,1.0434239600345854,1.0464045667986372,0461
36,0,0480 Nyköping,53038,54924,56591,1.0355594102341716,1.0303510305148933,0480
37,5,0481 Oxelösund,11403,11921,11983,1.045426642111725,1.0052009059642648,0481
38,5,0482 Flen,16156,16830,16585,1.0417182470908641,0.9854426619132501,0482
39,0,0483 Katrineholm,32930,33722,34755,1.0240510173094444,1.0306328213036,0483
40,7,0484 Eskilstuna,99729,103684,106859,1.0396574717484384,1.0306218895875932,0484
41,8,0486 Strängnäs,33389,34609,36544,1.0365389799035611,1.0559103123464995,0486
42,3,0488 Trosa,11680,12447,13747,1.0656678082191782,1.1044428376315578,0488
43,5,0509 Ödeshög,5174,5335,5337,1.031117124081948,1.0003748828491097,0509
44,4,0512 Ydre,3617,3675,3747,1.0160353884434614,1.019591836734694,0512
45,4,0513 Kinda,9802,9874,9940,1.0073454397061825,1.0066842211869556,0513
46,4,0560 Boxholm,5278,5373,5476,1.017999242137173,1.0191699236925367,0560
47,4,0561 Åtvidaberg,11460,11617,11503,1.01369982547993,0.9901867952139106,0561
48,0,0562 Finspång,20903,21526,21912,1.0298043343060805,1.017931803400539,0562
49,5,0563 Valdemarsvik,7585,7809,7873,1.0295319709953856,1.0081956716609042,0563
50,7,0580 Linköping,150202,155817,163051,1.0373829909055805,1.0464262564418516,0580
51,7,0581 Norrköping,133749,139363,143171,1.0419741456010887,1.0273243256818525,0581
52,4,0582 Söderköping,14195,14402,14626,1.0145825995068687,1.0155533953617553,0582
53,4,0583 Motala,42187,43258,43673,1.025386967549245,1.0095936011835962,0583
54,4,0584 Vadstena,7383,7348,7428,0.9952593796559664,1.010887316276538,0584
55,0,0586 Mjölby,26313,26708,27758,1.0150115912286701,1.0393140632020368,0586
56,0,0604 Aneby,6375,6603,6848,1.035764705882353,1.0371043465091625,0604
57,4,0617 Gnosjö,9406,9615,9712,1.0222198596640442,1.0100884035361415,0617
58,4,0642 Mullsjö,7039,7226,7290,1.0265662736184118,1.0088569056185994,0642
59,8,0643 Habo,10975,11586,12433,1.0556719817767655,1.073105472121526,0643
60,4,0662 Gislaved,28713,29478,29963,1.0266429840142095,1.0164529479611915,0662
61,0,0665 Vaggeryd,13209,13644,14275,1.032932091755621,1.0462474347698623,0665
62,7,0680 Jönköping,130798,135297,141081,1.0343965504059696,1.0427503935785716,0680
