Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0488 Trosa;11680;11864;12078;12447;12916;13309;13747;14309;14658;14760;14885
0509 Ödeshög;5174;5240;5236;5335;5343;5323;5337;5338;5309;5317;5279
0512 Ydre;3617;3660;3658;3675;3733;3743;3747;3726;3695;3683;3637
0513 Kinda;9802;9795;9795;9874;9882;9915;9940;9991;10048;10068;9992
0560 Boxholm;5278;5322;5328;5373;5453;5449;5476;5441;5512;5498;5523
0561 Åtvidaberg;11460;11472;11545;11617;11631;11537;11503;11427;11462;11506;11460
0562 Finspång;20903;21150;21199;21526;21577;21758;21912;21765;21889;21903;21694
0563 Valdemarsvik;7585;7657;7747;7809;7920;7956;7873;7737;7660;7630;7541
0580 Linköping;150202;151881;152966;155817;158520;161034;163051;164616;165527;166673;167404
0581 Norrköping;133749;135283;137035;139363;140927;141676;143171;143478;144458;145120;145163
0582 Söderköping;14195;14268;14240;14402;14521;14618;14626;14616;14673;14834;14867
0583 Motala;42187;42556;42903;43258;43549;43687;43673;43640;43674;43728;43728
0584 Vadstena;7383;7393;7407;7348;7421;7514;7428;7423;7528;7481;7434
0586 Mjölby;26313;26428;26602;26708;27019;27373;27758;27960;28269;28471;28576
0604 Aneby;6375;6426;6537;6603;6776;6832;6848;6821;6892;6824;6852
0617 Gnosjö;9406;9509;9514;9615;9733;9776;9712;9614;9570;9438;9246
0642 Mullsjö;7039;7109;7157;7226;7328;7324;7290;7385;7430;7532;7577
0643 Habo;10975;11110;11314;11586;11845;12140;12433;12589;12810;13128;13275
0662 Gislaved;28713;28737;29272;29478;29629;29857;29963;29635;29556;29481;29014
0665 Vaggeryd;13209;13229;13372;13644;13840;13980;14275;14532;14746;14854;14811
0680 Jönköping;130798;132140;133310;135297;137481;139222;141081;142427;143579;145114;146161
0682 Nässjö;29516;29907;30451;30820;31178;31477;31538;31563;31782;31944;31648
0683 Värnamo;33155;33334;33473;33906;34206;34428;34560;34530;34661;34692;34601
0684 Sävsjö;10969;11100;11228;11396;11496;11631;11677;11721;11709;11771;11668
0685 Vetlanda;26419;26647;26873;27241;27415;27504;27466;27502;27621;27673;27498
0686 Eksjö;16464;16598;16790;17129;17416;17667;17753;17788;17834;17858;17750
0687 Tranås;18197;18416;18546;18794;18894;18987;19003;18903;18874;18804;18755
0760 Uppvidinge;9288;9222;9319;9508;9561;9581;9588;9498;9449;9418;9263
0761 Lessebo;8059;8256;8516;8760;8806;8780;8733;8655;8574;8485;8342
0763 Tingsryd;12156;12198;12260;12393;12451;12407;12393;12369;12319;12297;12155
0764 Alvesta;19280;19503;19581;19850;20026;20150;20134;20224;20287;20257;20040
0765 Älmhult;15759;15908;16168;16618;17148;17568;17651;17884;17963;18092;17932
0767 Markaryd;9515;9549;9779;9991;10170;10260;10320;10373;10320;10166;10076
0780 Växjö;85822;86970;88108;89500;91060;92567;94129;94859;95995;97137;97574
0781 Ljungby;27277;27522;27638;28008;28297;28573;28521;28401;28433;28483;28304
0821 Högsby;5718;5782;5857;6080;6087;6094;5921;5731;5645;5584;5438
0834 Torsås;6879;6925;6943;7063;7083;7098;7125;7149;7113;7042;7002
0840 Mörbylånga;14368;14498;14669;14916;15000;15048;15249;15487;15722;15985;16144
0860 Hultsfred;13635;13738;13919;14607;14579;14360;14224;14107;14056;14064;13883
0861 Mönsterås;12949;13057;13144;13395;13498;13565;13430;13264;13258;13276;13134
0862 Emmaboda;8964;9009;9090;9348;9368;9400;9445;9360;9329;9347;9056
0880 Kalmar;63887;64676;65704;66571;67451;68510;69467;70329;71328;72018;72304
0881 Nybro;19489;19714;19754;20311;20406;20350;20318;20273;20284;20303;20145
0882 Oskarshamn;26212;26301;26450;27006;26928;26928;27102;27147;27220;27028;26918
0883 Västervik;35867;35920;36049;36438;36551;36680;36679;36655;36747;36650;36434
0884 Vimmerby;15287;15297;15419;15636;15728;15764;15647;15672;15578;15557;15461
0885 Borgholm;10619;10681;10681;10930;10857;10873;10839;10836;10895;10857;10748
0980 Gotland;57161;57255;57391;58003;58595;59249;59686;60124;61001;61173;61029
1060 Olofström;12902;13031;13170;13417;13482;13516;13426;13311;13263;13159;13061
1080 Karlskrona;63912;64348;65380;66262;66666;66675;66622;66515;66708;66682;66420
1081 Ronneby;27871;28221;28697;29207;29568;29695;29633;29372;29200;29169;29021
1082 Karlshamn;31272;31598;31846;32130;32200;32330;32473;32402;32226;32216;31996
1083 Sölvesborg;16800;16959;17160;17437;17455;17468;17452;17456;17540;17514;17475
1214 Svalöv;13332;13460;13655;13919;14025;14123;14268;14276;14412;14466;14544
1230 Staffanstorp;22672;22994;23119;23600;24167;24724;25396;25883;26242;26778;27152
1231 Burlöv;17114;17211;17430;17646;18073;18360;19112;19312;19753;19882;19844
1233 Vellinge;33807;34110;34667;35257;35790;36499;36628;36915;37452;37821;37738
1256 Östra Göinge;13687;13864;14102;14406;14715;14915;15007;15017;14941;14577;14331
1257 Örkelljunga;9653;9733;9831;9958;10047;10174;10280;10451;10499;10455;10433
1260 Bjuv;14801;14894;14962;15202;15429;15501;15715;15697;15842;16062;15968
1261 Kävlinge;29600;29808;30104;30532;30959;31491;31705;32020;32341;32470;32430
1262 Lomma;22496;22946;23324;23887;24264;24763;24834;24876;24638;24721;24627
1263 Svedala;20067;20248;20462;20771;21074;21576;22229;22665;23222;23288;23470
1264 Skurup;15025;15167;15149;15408;15642;15759;15889;16042;16419;16731;16861
1265 Sjöbo;18401;18415;18514;18742;19071;19153;19226;19412;19497;19547;19437
1266 Hörby;14917;14927;15020;15283;15552;15635;15631;15653;15745;15718;15585
1267 Höör;15637;15770;15970;16192;16478;16637;16713;16830;16954;17297;17376
1270 Tomelilla;12891;13007;13132;13330;13416;13557;13617;13663;13712;13812;13660
1272 Bromölla;12336;12400;12513;12625;12699;12876;12870;12759;12650;12633;12498
1273 Osby;12713;12828;12954;13149;13182;13267;13208;13198;13269;13238;13106
1275 Perstorp;7139;7174;7211;7338;7335;7479;7492;7476;7565;7442;7323
1276 Klippan;16715;16733;16917;17219;17462;17600;17756;17738;17783;17865;17723
